"s","birthPlace"
"http://dbpedia.org/resource/Gevorg_Emin","http://dbpedia.org/resource/Ashtarak"
"http://dbpedia.org/resource/Lascelles_Abercrombie","http://dbpedia.org/resource/Ashton_upon_Mersey"
"http://dbpedia.org/resource/Temsüla_Ao","http://dbpedia.org/resource/Assam"
"http://dbpedia.org/resource/Saadi_Shirazi","http://dbpedia.org/resource/Atabegs_of_Fars"
"http://dbpedia.org/resource/Clarence_Major","http://dbpedia.org/resource/Atlanta,_Georgia"
"http://dbpedia.org/resource/Georgia_Douglas_Johnson","http://dbpedia.org/resource/Atlanta,_Georgia"
"http://dbpedia.org/resource/James_Dickey","http://dbpedia.org/resource/Atlanta,_Georgia"
"http://dbpedia.org/resource/Gajanan_Digambar_Madgulkar","http://dbpedia.org/resource/Atpadi"
"http://dbpedia.org/resource/Sophocles","http://dbpedia.org/resource/Attica"
"http://dbpedia.org/resource/Robert_Sullivan_(poet)","http://dbpedia.org/resource/Auckland"
"http://dbpedia.org/resource/Sam_Hunt_(poet)","http://dbpedia.org/resource/Auckland"
"http://dbpedia.org/resource/Charles_Cros","http://dbpedia.org/resource/Aude"
"http://dbpedia.org/resource/Bertolt_Brecht","http://dbpedia.org/resource/Augsburg"
"http://dbpedia.org/resource/Dorianne_Laux","http://dbpedia.org/resource/Augusta,_Maine"
"http://dbpedia.org/resource/Martial","http://dbpedia.org/resource/Augusta_Bilbilis"
"http://dbpedia.org/resource/Maria_Konopnicka","http://dbpedia.org/resource/Augustów_Governorate"
"http://dbpedia.org/resource/Richard_Eberhart","http://dbpedia.org/resource/Austin,_Minnesota"
"http://dbpedia.org/resource/Judith_Wright","http://dbpedia.org/resource/Australia"
"http://dbpedia.org/resource/Christopher_Brennan","http://dbpedia.org/resource/Australia"
"http://dbpedia.org/resource/Ryszard_Krynicki","http://dbpedia.org/resource/Austria"
"http://dbpedia.org/resource/Franz_Grillparzer","http://dbpedia.org/resource/Austria"
"http://dbpedia.org/resource/Oswald_LeWinter","http://dbpedia.org/resource/Austria"
"http://dbpedia.org/resource/Hugo_von_Hofmannsthal","http://dbpedia.org/resource/Austria-Hungary"
"http://dbpedia.org/resource/Paweł_Kubisz","http://dbpedia.org/resource/Austria-Hungary"
"http://dbpedia.org/resource/Umberto_Saba","http://dbpedia.org/resource/Austria-Hungary"
"http://dbpedia.org/resource/Emil_Zegadłowicz","http://dbpedia.org/resource/Austria-Hungary"
"http://dbpedia.org/resource/Franz_Werfel","http://dbpedia.org/resource/Austria-Hungary"
"http://dbpedia.org/resource/Georg_Trakl","http://dbpedia.org/resource/Austria-Hungary"
"http://dbpedia.org/resource/Miroslav_Krleža","http://dbpedia.org/resource/Austria-Hungary"
"http://dbpedia.org/resource/Lucian_Blaga","http://dbpedia.org/resource/Austria-Hungary"
"http://dbpedia.org/resource/Béla_Balázs","http://dbpedia.org/resource/Austria-Hungary"
"http://dbpedia.org/resource/Albert_Wass","http://dbpedia.org/resource/Austria-Hungary"
"http://dbpedia.org/resource/Ervin_Šinko","http://dbpedia.org/resource/Austria-Hungary"
"http://dbpedia.org/resource/Ferenc_Békássy","http://dbpedia.org/resource/Austria-Hungary"
"http://dbpedia.org/resource/Jaroslav_Seifert","http://dbpedia.org/resource/Austria-Hungary"
"http://dbpedia.org/resource/Attila_József","http://dbpedia.org/resource/Austria-Hungary"
"http://dbpedia.org/resource/János_Mattis-Teutsch","http://dbpedia.org/resource/Austria-Hungary"
"http://dbpedia.org/resource/Lajos_Áprily","http://dbpedia.org/resource/Austria-Hungary"
"http://dbpedia.org/resource/Sándor_Márai","http://dbpedia.org/resource/Austria-Hungary"
"http://dbpedia.org/resource/Dezső_Kosztolányi","http://dbpedia.org/resource/Austria-Hungary"
"http://dbpedia.org/resource/Srečko_Kosovel","http://dbpedia.org/resource/Austria-Hungary"
"http://dbpedia.org/resource/Mieczysław_Jastrun","http://dbpedia.org/resource/Austria-Hungary"
"http://dbpedia.org/resource/Mihály_Babits","http://dbpedia.org/resource/Austria-Hungary"
"http://dbpedia.org/resource/Octavian_Goga","http://dbpedia.org/resource/Austria-Hungary"
"http://dbpedia.org/resource/Rainer_Maria_Rilke","http://dbpedia.org/resource/Austria-Hungary"
"http://dbpedia.org/resource/Władysław_Orkan","http://dbpedia.org/resource/Austria-Hungary"
"http://dbpedia.org/resource/Jovan_Jovanović_Zmaj","http://dbpedia.org/resource/Austrian_Empire"
"http://dbpedia.org/resource/Petar_Preradović","http://dbpedia.org/resource/Austrian_Empire"
"http://dbpedia.org/resource/George_Coșbuc","http://dbpedia.org/resource/Austrian_Empire"
"http://dbpedia.org/resource/Đorđe_Marković_Koder","http://dbpedia.org/resource/Austrian_Empire"
